Evaluation of a Population with size 30, on Track "Track5", using the following GA operators: 
Selection: DefaultSelectionOperator
Recombination: RandomRecombination
Mutation: MutateAllButBestTwo
FitnessCalculation: DefaultFitnessCalculation

1	0,5168672; 1	0,4561737; 1	0,1716128; 1	0,05363443; 1	0,04024434; 1	0,03957254; 1	0,03228978; 1	0,02082553; 1	0,02013192; 1	0,01816913; 1	0,01517541; 1	0,01237504; 1	0,01068374; 1	0,01059579; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 
2	0,5742043; 2	0,5164138; 2	0,5060067; 2	0,4561737; 2	0,4561737; 2	0,4561737; 2	0,4561737; 2	0,3651749; 2	0,3602539; 2	0,1506261; 2	0,04240395; 2	0,04231562; 2	0,04012347; 2	0,03945723; 2	0,03301038; 2	0,03246915; 2	0,03187385; 2	0,0314608; 2	0,02893075; 2	0,02763868; 2	0,02556085; 2	0,01364925; 2	0; 2	0; 2	0; 2	0; 2	0; 2	0; 2	0; 2	0; 
3	0,5742043; 3	0,516174; 3	0,5115392; 3	0,1506261; 3	0,1506261; 3	0,1506261; 3	0,05815219; 3	0,04774724; 3	0,04143838; 3	0,03987294; 3	0,03665616; 3	0,03149036; 3	0,03147679; 3	0,0300307; 3	0,02899681; 3	0,02886292; 3	0,02400431; 3	0,02212865; 3	0,02001559; 3	0,0149831; 3	0,01099772; 3	0,004531994; 3	0; 3	0; 3	0; 3	0; 3	0; 3	0; 3	0; 3	0; 
4	1; 4	1; 4	1; 4	1; 4	0,5742043; 4	0,5742043; 4	0,5742043; 4	0,5742043; 4	0,5191958; 4	0,5159699; 4	0,5068188; 4	0,4956507; 4	0,4810789; 4	0,4763855; 4	0,4561737; 4	0,4561737; 4	0,4561737; 4	0,1506261; 4	0,1011588; 4	0,03972565; 4	0,03071228; 4	0,02683015; 4	0; 4	0; 4	0; 4	0; 4	0; 4	0; 4	0; 4	0; 
5	1; 5	1; 5	1; 5	0,4906238; 5	0,4904847; 5	0,488849; 5	0,3317056; 5	0,2905033; 5	0,1506261; 5	0,1506261; 5	0,1506261; 5	0,04242983; 5	0,03760305; 5	0,02342622; 5	0,0212614; 5	0,02012009; 5	0,0120017; 5	0; 5	0; 5	0; 5	0; 5	0; 5	0; 5	0; 5	0; 5	0; 5	0; 5	0; 5	0; 5	0; 
6	1; 6	1; 6	1; 6	0,5976257; 6	0,5188999; 6	0,4981411; 6	0,4561737; 6	0,4561737; 6	0,4095455; 6	0,3383695; 6	0,3304446; 6	0,2905033; 6	0,2905033; 6	0,2905033; 6	0,09572419; 6	0,09410141; 6	0,08697772; 6	0,0831657; 6	0,06628514; 6	0,03988827; 6	0,0227792; 6	0,02265592; 6	0,01011555; 6	0; 6	0; 6	0; 6	0; 6	0; 6	0; 6	0; 
7	1; 7	1; 7	1; 7	0,5776822; 7	0,5742043; 7	0,5228776; 7	0,4717792; 7	0,4561737; 7	0,4561737; 7	0,4561737; 7	0,4561737; 7	0,4561737; 7	0,4561737; 7	0,3428059; 7	0,1675476; 7	0,1506261; 7	0,1506261; 7	0,09003448; 7	0,0733474; 7	0,04898575; 7	0,02678125; 7	0,02163973; 7	0,01323366; 7	0; 7	0; 7	0; 7	0; 7	0; 7	0; 7	0; 
8	1; 8	1; 8	1; 8	1; 8	1; 8	0,5878924; 8	0,5742043; 8	0,5742043; 8	0,525373; 8	0,5090059; 8	0,3008464; 8	0,2905033; 8	0,2905033; 8	0,1882714; 8	0,1506261; 8	0,1506261; 8	0,09485842; 8	0,08690335; 8	0,06864949; 8	0,03239369; 8	0; 8	0; 8	0; 8	0; 8	0; 8	0; 8	0; 8	0; 8	0; 8	0; 
9	1; 9	1; 9	1; 9	1; 9	0,5742043; 9	0,5742043; 9	0,5742043; 9	0,5274543; 9	0,498825; 9	0,497803; 9	0,4939151; 9	0,4904484; 9	0,4561737; 9	0,3632891; 9	0,2905033; 9	0,1506261; 9	0,1506261; 9	0,1506261; 9	0,1506261; 9	0,08910272; 9	0,06080459; 9	0,03583455; 9	0,008886565; 9	0,006195049; 9	0; 9	0; 9	0; 9	0; 9	0; 9	0; 
10	1; 10	1; 10	1; 10	1; 10	1; 10	1; 10	0,5742043; 10	0,5742043; 10	0,4890378; 10	0,4880501; 10	0,4561737; 10	0,4561737; 10	0,4561737; 10	0,3658535; 10	0,3411491; 10	0,3367307; 10	0,1506261; 10	0,06430462; 10	0,03975238; 10	0,0330913; 10	0,02038326; 10	0,0077702; 10	0; 10	0; 10	0; 10	0; 10	0; 10	0; 10	0; 10	0; 
11	1; 11	1; 11	1; 11	0,5742043; 11	0,5742043; 11	0,5742043; 11	0,4561737; 11	0,4561737; 11	0,4561737; 11	0,4561737; 11	0,364012; 11	0,3569697; 11	0,3531425; 11	0,3319846; 11	0,3258118; 11	0,1506261; 11	0,06148408; 11	0,02276605; 11	0,02256162; 11	0,02233456; 11	0,002746748; 11	0; 11	0; 11	0; 11	0; 11	0; 11	0; 11	0; 11	0; 11	0; 
12	1; 12	1; 12	1; 12	1; 12	1; 12	1; 12	0,5742043; 12	0,494781; 12	0,4561737; 12	0,4036462; 12	0,3990682; 12	0,3615162; 12	0,3332753; 12	0,3246747; 12	0,2905033; 12	0,2905033; 12	0,170165; 12	0,1506261; 12	0,09023677; 12	0,08216824; 12	0,07949046; 12	0,07319321; 12	0,05486671; 12	0,05312132; 12	0,04868125; 12	0,003894847; 12	0; 12	0; 12	0; 12	0; 
