Evaluation of a Population with size 30, on Track "Track6", using the following GA operators: 
Selection: DefaultSelectionOperator
Recombination: RandomRecombination
Mutation: MutateAllButBestTwo
FitnessCalculation: DefaultFitnessCalculation

1	0,1064553; 1	0,03496806; 1	0,02989447; 1	0,02423066; 1	0,02114436; 1	0,0206016; 1	0,01344659; 1	0,01269621; 1	0,01142487; 1	0,01015886; 1	0,008283407; 1	0,007662748; 1	0,006375746; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 
2	0,2069306; 2	0,1408214; 2	0,08864856; 2	0,08336112; 2	0,05519714; 2	0,03446005; 2	0,02904145; 2	0,02039195; 2	0,0180684; 2	0,01217459; 2	0,01090346; 2	0,00993848; 2	0,006852177; 2	0,00289388; 2	0,001477802; 2	0,0005337768; 2	0; 2	0; 2	0; 2	0; 2	0; 2	0; 2	0; 2	0; 2	0; 2	0; 2	0; 2	0; 2	0; 2	0; 
3	0,233098; 3	0,2245166; 3	0,2245166; 3	0,2245166; 3	0,2003721; 3	0,1409416; 3	0,1407913; 3	0,08037111; 3	0,05519714; 3	0,05519714; 3	0,02863858; 3	0,02713941; 3	0,02699305; 3	0,02071206; 3	0,01708674; 3	0,01692204; 3	0,01326043; 3	0,01278664; 3	0,01118847; 3	0,01015907; 3	0,009424412; 3	0,008326519; 3	0,00827736; 3	0,008051703; 3	0,004033552; 3	0; 3	0; 3	0; 3	0; 3	0; 
4	0,2461681; 4	0,2333149; 4	0,2245166; 4	0,2245166; 4	0,2245166; 4	0,1999979; 4	0,07071792; 4	0,05870927; 4	0,03354095; 4	0,02566542; 4	0,02450211; 4	0,02222496; 4	0,02114531; 4	0,02069173; 4	0,02055572; 4	0,01978731; 4	0,0195321; 4	0,01785149; 4	0,01733045; 4	0,01695526; 4	0,01516914; 4	0,01220758; 4	0,01067407; 4	0,01032983; 4	0,008564659; 4	0; 4	0; 4	0; 4	0; 4	0; 
5	0,2460189; 5	0,2333152; 5	0,2009454; 5	0,182941; 5	0,08567183; 5	0,07728197; 5	0,0756537; 5	0,05519714; 5	0,03437747; 5	0,03140952; 5	0,02985943; 5	0,02247937; 5	0,01859961; 5	0,01823737; 5	0,01801726; 5	0,01695942; 5	0,01646503; 5	0,01513079; 5	0,01227921; 5	0,01127425; 5	0,007729623; 5	0,005147219; 5	0,005082283; 5	0,001200595; 5	0; 5	0; 5	0; 5	0; 5	0; 5	0; 
6	0,2464682; 6	0,2334751; 6	0,2330863; 6	0,1970069; 6	0,1964817; 6	0,1692571; 6	0,1064553; 6	0,08465789; 6	0,05519714; 6	0,05519714; 6	0,0283826; 6	0,02275447; 6	0,02055079; 6	0,02039181; 6	0,01890249; 6	0,01695378; 6	0,01684696; 6	0,0126346; 6	0,007714464; 6	0,007133187; 6	0,006787182; 6	0,005400427; 6	0; 6	0; 6	0; 6	0; 6	0; 6	0; 6	0; 6	0; 
7	0,5450425; 7	0,2587048; 7	0,2451776; 7	0,2361058; 7	0,20059; 7	0,137582; 7	0,05519714; 7	0,03192252; 7	0,0302207; 7	0,02724582; 7	0,02488296; 7	0,0209524; 7	0,01564556; 7	0,01542274; 7	0,01462099; 7	0,01426786; 7	0,01275596; 7	0,01240966; 7	0,01095929; 7	0,01061459; 7	0,005551554; 7	0,004525065; 7	0; 7	0; 7	0; 7	0; 7	0; 7	0; 7	0; 7	0; 
8	1; 8	1; 8	0,5449871; 8	0,543754; 8	0,266729; 8	0,2577023; 8	0,2455342; 8	0,2387128; 8	0,2335488; 8	0,228765; 8	0,2256062; 8	0,2245166; 8	0,198435; 8	0,1064553; 8	0,02720037; 8	0,0257685; 8	0,02469234; 8	0,0136477; 8	0,01105038; 8	0,00899294; 8	0,007017066; 8	0,001610322; 8	0; 8	0; 8	0; 8	0; 8	0; 8	0; 8	0; 8	0; 
9	1; 9	1; 9	1; 9	1; 9	1; 9	0,7767783; 9	0,7639812; 9	0,2715606; 9	0,2651442; 9	0,2601853; 9	0,2554727; 9	0,2523817; 9	0,2443391; 9	0,2399516; 9	0,2055893; 9	0,05519714; 9	0,0151948; 9	0,009885195; 9	0,008001984; 9	0,005791531; 9	0; 9	0; 9	0; 9	0; 9	0; 9	0; 9	0; 9	0; 9	0; 9	0; 
10	1; 10	1; 10	1; 10	1; 10	0,4303554; 10	0,3284782; 10	0,3277834; 10	0,256444; 10	0,2503561; 10	0,2405937; 10	0,2391732; 10	0,2333131; 10	0,2245166; 10	0,2058548; 10	0,05519714; 10	0,05519714; 10	0,05519714; 10	0,02101656; 10	0,01149338; 10	0,002366517; 10	0; 10	0; 10	0; 10	0; 10	0; 10	0; 10	0; 10	0; 10	0; 10	0; 
11	1; 11	1; 11	1; 11	1; 11	1; 11	1; 11	1; 11	1; 11	0,2917339; 11	0,2655846; 11	0,2572652; 11	0,2561465; 11	0,2448304; 11	0,2406023; 11	0,2373538; 11	0,2256026; 11	0,08404347; 11	0,03681803; 11	0,03466087; 11	0,02990841; 11	0,01670766; 11	0,01519149; 11	0,009778501; 11	0,005372882; 11	0,00440607; 11	0; 11	0; 11	0; 11	0; 11	0; 
